,kepid,kepoi_name,kepler_name,ra,ra_err,ra_str,dec,dec_err,dec_str,koi_gmag,koi_gmag_err,koi_rmag,koi_rmag_err,koi_imag,koi_imag_err,koi_zmag,koi_zmag_err,koi_jmag,koi_jmag_err,koi_hmag,koi_hmag_err,koi_kmag,koi_kmag_err,koi_kepmag,koi_kepmag_err,koi_delivname,koi_vet_stat,koi_quarters,koi_disposition,koi_pdisposition,koi_count,koi_num_transits,koi_max_sngle_ev,koi_max_mult_ev,koi_bin_oedp_sig,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_trans_mod,koi_model_snr,koi_model_dof,koi_model_chisq,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_period,koi_period_err1,koi_period_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,koi_comment,koi_vet_date,koi_tce_plnt_num,koi_tce_delivname,koi_datalink_dvs,koi_disp_prov,koi_parm_prov,koi_time0,koi_time0_err1,koi_time0_err2,koi_datalink_dvr,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_insol,koi_insol_err1,koi_insol_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_score
0,10811496,K00753.01,,297.00482,0.0,19h48m01.16s,48.134128999999994,0.0,+48d08m02.9s,15.943,,15.39,,15.22,,15.165999999999999,,14.254000000000001,0.027999999999999997,13.9,0.033,13.825999999999999,0.057999999999999996,15.436,,cumulative,Done,11111101110111011000000000000000,CANDIDATE,CANDIDATE,1,56.0,37.159766999999995,187.4491,0.6624,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2711,0.3858,Mandel and Agol (2002 ApJ 580 171),76.3,,,175.850252,0.0005809999999999999,-0.0005809999999999999,0.0,,,,,,14.6,3.92,-1.31,0.1419,,,0.9690000000000001,5.126,-0.077,1.7822,0.0341,-0.0341,,,,10829.0,171.0,-171.0,19.89913995,1.494e-05,-1.494e-05,0.15404600000000002,5.034292,-0.042179,53.5,25.7,-25.7,88.96,,,638.0,,,5853.0,158.0,-176.0,4.544,0.044000000000000004,-0.17600000000000002,-0.18,0.3,-0.3,0.868,0.233,-0.078,0.961,0.11,-0.121,,,,q1_q17_dr25_stellar,0.278,19.8003207,1.9e-06,48.13412,2e-05,-0.021,0.069,-0.038,0.071,0.0007,0.0024,0.0006,0.0034,-0.025,0.07,-0.034,0.07,0.042,0.072,0.002,0.071,-0.027,0.074,0.027,0.074,DEEP_V_SHAPED,2018-08-16,1.0,q1_q17_dr25_tce,010/010811/010811496/dv/kplr010811496-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2455008.85,0.0005809999999999999,-0.0005809999999999999,010/010811/010811496/dv/kplr010811496-20160209194854_dvr.pdf,0,0,0,0,39.3,31.04,-10.49,7.29555,35.03293,-2.75453,LS+MCMC,0.0
1,11138155,K00760.01,,292.16705,0.0,19h28m40.09s,48.727589,0.0,+48d43m39.3s,15.715,,15.209000000000001,,15.069,,15.040999999999999,,14.123,0.031,13.815,0.038,13.805,0.06,15.263,,cumulative,Done,11111111111111111000000000000000,CANDIDATE,CANDIDATE,1,269.0,58.76474399999999,670.4895,0.0517,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2602,0.4096,Mandel and Agol (2002 ApJ 580 171),696.5,,,172.2585292,8.27e-05,-8.27e-05,0.0,,,,,,12.21,1.96,-1.46,0.0565,,,0.831,0.016,-0.004,2.22739,0.0075,-0.0075,,,,9802.0,20.0,-20.0,4.959319244,5.15e-07,-5.15e-07,0.103379,0.001245,-7.4e-05,12.386,0.466,-0.466,86.15,,,1103.0,,,5712.0,77.0,-77.0,4.359,0.11,-0.11,0.1,0.15,-0.15,1.082,0.173,-0.13,0.976,0.073,-0.055,,,,q1_q17_dr25_stellar,0.705,19.47780401,6.2e-07,48.7275662,5.6e-06,0.0,0.022,-0.086,0.02,0.00011,0.0005200000000000001,-7e-05,0.00075,-0.018,0.067,0.012,0.067,0.022,0.067,-0.021,0.067,-0.077,0.068,0.08,0.068,NO_COMMENT,2018-08-16,1.0,q1_q17_dr25_tce,011/011138/011138155/dv/kplr011138155-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2455005.259,8.27e-05,-8.27e-05,011/011138/011138155/dv/kplr011138155-20160209194854_dvr.pdf,0,0,0,0,349.4,146.52,-93.21,1.46169,0.055029999999999996,-0.18338,LS+MCMC,1.0
2,11818800,K00777.01,,294.31686,0.0,19h37m16.05s,50.080231,0.0,+50d04m48.8s,16.1,,15.463,,15.224,,15.091,,14.029000000000002,0.025,13.630999999999998,0.031,13.491,0.042,15.487,,cumulative,Done,11111111111111111000000000000000,CANDIDATE,CANDIDATE,1,36.0,22.598503,94.071846,0.8482,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2665,0.398,Mandel and Agol (2002 ApJ 580 171),36.9,,,173.56468999999998,0.0022199999999999998,-0.0022199999999999998,0.0,,,,,,7.51,1.12,-0.91,0.2062,,,0.9109999999999999,5.567,-0.11800000000000001,3.362,0.14,-0.14,,,,6256.0,230.0,-230.0,40.4195037,0.0001139,-0.0001139,0.08806900000000001,5.461791000000001,-0.013636,54.7,24.1,-24.1,89.05,,,467.0,,,5446.0,179.0,-163.0,4.507,0.11599999999999999,-0.105,-0.54,0.35,-0.3,0.781,0.116,-0.095,0.714,0.104,-0.037,,,,q1_q17_dr25_stellar,0.027000000000000003,19.6211267,4e-06,50.080316,3.8e-05,0.09,0.14,0.31,0.14,0.0006,0.002,-0.0011,0.003,-0.025,0.072,0.051,0.076,0.057,0.077,-0.049,0.071,-0.021,0.075,0.053,0.072,NO_COMMENT,2018-08-16,1.0,q1_q17_dr25_tce,011/011818/011818800/dv/kplr011818800-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2455006.565,0.0022199999999999998,-0.0022199999999999998,011/011818/011818800/dv/kplr011818800-20160209194854_dvr.pdf,0,0,0,0,11.29,5.67,-3.57,1.8954900000000001,5.83737,-1.19072,LS+MCMC,0.999
3,11918099,K00780.02,,293.83331,0.0,19h35m19.99s,50.23035,0.0,+50d13m49.3s,16.11,,15.283,,15.001,,14.882,,13.81,0.022000000000000002,13.3,0.023,13.195,0.037000000000000005,15.334000000000001,,cumulative,Done,11111111111111111000000000000000,CANDIDATE,CANDIDATE,2,168.0,3.2751372,9.1666,0.4049,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1496,0.5746,Mandel and Agol (2002 ApJ 580 171),13.7,,,137.75545,0.002,-0.002,0.0,,,,,,19.45,1.4,-0.71,0.0692,,,1.198,49.85,-0.258,0.5579999999999999,0.171,-0.171,,,,556.4,44.1,-44.1,7.240661200000001,1.617e-05,-1.617e-05,0.232818,49.983109999999996,-0.203605,28.8,14.4,-14.4,87.62,,,734.0,,,5005.0,79.0,-79.0,4.595,0.012,-0.064,0.14,0.15,-0.15,0.765,0.055,-0.028,0.85,0.025,-0.054,,,,q1_q17_dr25_stellar,0.057999999999999996,19.588885,3.3e-05,50.22996,0.00034,-0.1,1.2,-1.4,1.2,0.00016,0.0006,0.00075,0.00064,-0.51,0.46,-0.49,0.64,0.71,0.54,0.08,0.45,-0.38,0.56,0.39,0.56,NO_COMMENT,2018-08-16,2.0,q1_q17_dr25_tce,011/011918/011918099/dv/kplr011918099-002-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2454970.755,0.002,-0.002,011/011918/011918099/dv/kplr011918099-20160209194854_dvr.pdf,0,0,0,0,68.63,15.32,-8.86,8.66412,682.61011,-6.858910000000001,LS+MCMC,0.993
4,9579641,K00115.03,,287.88732999999996,0.0,19h11m32.96s,46.276241,0.0,+46d16m34.5s,13.110999999999999,,12.732000000000001,,12.654000000000002,,12.648,,11.811,0.021,11.555,0.02,11.503,0.013000000000000001,12.790999999999999,,cumulative,Done,11111111111111111000000000000000,CANDIDATE,CANDIDATE,3,357.0,3.8943021,7.4337807,0.0228,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2676,0.3928,Mandel and Agol (2002 ApJ 580 171),8.7,,,132.6624,0.011000000000000001,-0.011000000000000001,0.0,,,,,,0.55,0.08,-0.07,0.0437,,,0.624,0.037000000000000005,-0.47600000000000003,3.133,0.40700000000000003,-0.40700000000000003,,,,23.2,3.4,-3.4,3.43591631,4.729e-05,-4.729e-05,0.004612,0.000197,-0.0005650000000000001,6.65,3.0,-3.0,84.62,,,1272.0,,,5779.0,104.0,-115.0,4.3389999999999995,0.132,-0.10800000000000001,-0.06,0.15,-0.15,1.087,0.157,-0.142,0.941,0.074,-0.054,,,,q1_q17_dr25_stellar,0.858,19.192473,3.3e-05,46.27616,0.00034,-0.6,1.2,-0.3,1.2,1.2e-05,3.1e-05,-3e-06,2.9999999999999997e-05,0.01,0.64,-0.05,0.95,0.05,0.93,-0.11,0.66,-0.3,1.0,0.3,1.0,NO_COMMENT,2018-08-16,3.0,q1_q17_dr25_tce,009/009579/009579641/dv/kplr009579641-003-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2454965.662,0.011000000000000001,-0.011000000000000001,009/009579/009579641/dv/kplr009579641-20160209194854_dvr.pdf,0,0,0,0,617.61,251.11,-186.88,0.47024,1.0682200000000002,-0.44478999999999996,LS+MCMC,0.871
5,3115833,K00797.01,,291.28195,0.0,19h25m07.67s,38.241669,0.0,+38d14m30.0s,16.162,,15.620999999999999,,15.440999999999999,,15.32,,14.408,0.028999999999999998,14.036,0.033,13.939,0.062,15.657,,cumulative,Done,01111111111111111000000000000000,CANDIDATE,CANDIDATE,1,129.0,27.099031,173.09894,0.5397,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2979,0.3238,Mandel and Agol (2002 ApJ 580 171),183.6,,,177.141891,0.00048300000000000003,-0.00048300000000000003,0.0,,,,,,7.73,2.17,-0.72,0.0884,,,0.92,0.006999999999999999,-0.005,3.5089,0.0331,-0.0331,,,,5741.1,53.2,-53.2,10.181584004,6.188e-06,-6.188e-06,0.084708,0.001876,-0.001718,12.776,0.528,-0.528,85.87,,,812.0,,,5988.0,179.0,-197.0,4.541,0.048,-0.192,-0.52,0.3,-0.3,0.836,0.234,-0.078,0.885,0.099,-0.099,,,,q1_q17_dr25_stellar,0.021,19.4187924,1.9e-06,38.241643,2.3e-05,-0.151,0.081,-0.099,0.084,0.0008,0.0014,-0.0003,0.0017,0.004,0.069,0.008,0.069,0.009,0.069,-0.062,0.07,0.06,0.072,0.087,0.072,NO_COMMENT,2018-08-16,1.0,q1_q17_dr25_tce,003/003115/003115833/dv/kplr003115833-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2455010.142,0.00048300000000000003,-0.00048300000000000003,003/003115/003115833/dv/kplr003115833-20160209194854_dvr.pdf,0,0,0,0,102.91,86.75,-28.91,0.38059,0.01574,-0.028789999999999996,LS+MCMC,1.0
6,3453214,K00802.01,,293.81619,0.0,19h35m15.89s,38.563568,0.0,+38d33m48.8s,16.07,,15.519,,15.344000000000001,,15.269,,14.364,0.035,13.995999999999999,0.044000000000000004,13.894,0.057,15.562000000000001,,cumulative,Done,11111011101110111000000000000000,CANDIDATE,CANDIDATE,1,52.0,73.60154,353.8584,0.3063,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2676,0.3928,Mandel and Agol (2002 ApJ 580 171),340.5,,,181.881819,0.000148,-0.000148,0.0,,,,,,13.6,1.82,-0.92,0.1389,,,0.45799999999999996,0.08,-0.165,2.0038,0.0292,-0.0292,,,,21724.6,85.0,-85.0,19.620346923,3.73e-06,-3.73e-06,0.137595,1e-05,-0.003638,77.9,22.0,-22.0,89.66,,,643.0,,,5710.0,76.0,-85.0,4.492,0.048,-0.11199999999999999,-0.1,0.15,-0.15,0.905,0.121,-0.061,0.928,0.052,-0.058,,,,q1_q17_dr25_stellar,0.0,19.58774067,8.4e-07,38.5634145,9.6e-06,-0.225,0.035,-0.56,0.035,-0.0108,0.0049,-0.0133,0.0062,0.656,0.094,0.634,0.073,0.913,0.089,0.056,0.072,0.057,0.071,0.08,0.074,CENT_KIC_POS,2018-08-16,1.0,q1_q17_dr25_tce,003/003453/003453214/dv/kplr003453214-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2455014.8819999998,0.000148,-0.000148,003/003453/003453214/dv/kplr003453214-20160209194854_dvr.pdf,0,0,0,0,40.39,14.34,-7.31,23.21659,6.55933,-2.21333,LS+MCMC,1.0
7,3641726,K00804.01,,290.33362,0.0,19h21m20.07s,38.728229999999996,0.0,+38d43m41.6s,16.037,,15.302,,15.107999999999999,,14.931,,13.931,0.03,13.479000000000001,0.040999999999999995,13.429,0.036000000000000004,15.387,,cumulative,Done,11111111111111111000000000000000,CANDIDATE,CANDIDATE,1,146.0,7.6108649999999995,47.37303,0.894,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2043,0.4966,Mandel and Agol (2002 ApJ 580 171),53.9,,,177.20422,0.0014199999999999998,-0.0014199999999999998,0.0,,,,,,2.57,0.44,-0.26,0.0796,,,0.024,0.401,-0.024,3.1449,0.0528,-0.0528,,,,1019.8,21.9,-21.9,9.02930689,1.648e-05,-1.648e-05,0.028718,0.0008820000000000001,-0.000544,22.57,1.2,-1.2,89.94,,,757.0,,,5349.0,167.0,-167.0,4.526,0.063,-0.10800000000000001,-0.12,0.3,-0.3,0.82,0.141,-0.082,0.824,0.096,-0.078,,,,q1_q17_dr25_stellar,0.09699999999999999,19.3555667,6.6e-06,38.728308,7.6e-05,-0.36,0.28,0.28,0.27,-0.00037999999999999997,0.00028,-5.9999999999999995e-05,0.00029,0.23,0.12,0.18,0.15,0.29,0.14,-0.08,0.13,0.29,0.13,0.3,0.13,NO_COMMENT,2018-08-16,1.0,q1_q17_dr25_tce,003/003641/003641726/dv/kplr003641726-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2455010.204,0.0014199999999999998,-0.0014199999999999998,003/003641/003641726/dv/kplr003641726-20160209194854_dvr.pdf,0,0,0,0,77.75,43.01,-22.28,2.66613,0.14652,-0.80614,LS+MCMC,1.0
8,3940418,K00810.01,,287.09398999999996,0.0,19h08m22.56s,39.060719,0.0,+39d03m38.6s,15.847000000000001,,15.037,,14.808,,14.681,,13.642999999999999,0.02,13.232000000000001,0.031,13.203,0.036000000000000004,15.119000000000002,,cumulative,Done,11111111111111111000000000000000,CANDIDATE,CANDIDATE,1,281.0,7.2522210000000005,57.63823299999999,0.5746,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.186,0.5256,Mandel and Agol (2002 ApJ 580 171),70.6,,,170.50843400000002,0.0009429999999999999,-0.0009429999999999999,0.0,,,,,,2.5,0.34,-0.19,0.0535,,,0.003,0.425,-0.003,2.335,0.0332,-0.0332,,,,1008.7,16.6,-16.6,4.783002698,5.432000000000001e-06,-5.432000000000001e-06,0.028314999999999996,0.0008810000000000001,-0.000366,16.102,0.647,-0.647,89.99,,,886.0,,,5170.0,155.0,-155.0,4.574,0.026000000000000002,-0.09699999999999999,0.18,0.2,-0.3,0.807,0.111,-0.06,0.891,0.053,-0.084,,,,q1_q17_dr25_stellar,0.282,19.1396047,4.9e-06,39.060762,6.3e-05,0.2,0.21,0.15,0.23,-0.00022,0.00022,2e-05,0.00023999999999999998,0.034,0.092,0.001,0.095,0.034,0.093,0.058,0.089,0.239,0.095,0.25,0.1,NO_COMMENT,2018-08-16,1.0,q1_q17_dr25_tce,003/003940/003940418/dv/kplr003940418-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2455003.508,0.0009429999999999999,-0.0009429999999999999,003/003940/003940418/dv/kplr003940418-20160209194854_dvr.pdf,0,0,0,0,145.48,66.39,-35.12,3.45234,0.13865999999999998,-0.96665,LS+MCMC,1.0
9,4544670,K00815.01,,285.92001,0.0,19h03m40.80s,39.624828,0.0,+39d37m29.4s,16.307000000000002,,15.645999999999999,,15.417,,15.322000000000001,,14.363,0.027000000000000003,13.96,0.031,13.875,0.042,15.684000000000001,,cumulative,Done,11111111111111111000000000000000,CANDIDATE,CANDIDATE,1,40.0,15.928789000000002,75.6448,0.1475,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2434,0.4341,Mandel and Agol (2002 ApJ 580 171),76.8,,,172.633252,0.0009400000000000001,-0.0009400000000000001,0.0,,,,,,7.61,1.72,-0.91,0.1971,,,0.934,0.575,-0.031,2.9315,0.0702,-0.0702,,,,4523.6,82.5,-82.5,34.84398644,4.036e-05,-4.036e-05,0.080046,0.583651,-0.0063030000000000004,49.31,5.0,-5.0,88.92,,,511.0,,,5509.0,166.0,-166.0,4.482,0.081,-0.15,-0.16,0.3,-0.3,0.871,0.196,-0.105,0.84,0.111,-0.074,,,,q1_q17_dr25_stellar,0.13,19.061339,4.3e-06,39.624775,5e-05,0.24,0.18,-0.2,0.18,-0.0012,0.0016,-0.0001,0.0019,0.074,0.095,0.004,0.086,0.074,0.095,-0.003,0.089,-0.271,0.085,0.271,0.085,NO_COMMENT,2018-08-16,1.0,q1_q17_dr25_tce,004/004544/004544670/dv/kplr004544670-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2455005.633,0.0009400000000000001,-0.0009400000000000001,004/004544/004544670/dv/kplr004544670-20160209194854_dvr.pdf,0,0,0,0,16.1,11.1,-5.08,1.86832,0.19092,-0.8285399999999999,LS+MCMC,1.0
10,4936180,K00820.01,,295.11371,0.0,19h40m27.29s,40.071171,0.0,+40d04m16.2s,15.662,,15.249,,15.102,,15.046,,14.224,0.027999999999999997,13.954,0.032,13.785,0.051,15.27,,cumulative,Done,11111011101110111000000000000000,CANDIDATE,CANDIDATE,1,227.0,14.098484,135.01852,0.9095,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3,0.2852,Mandel and Agol (2002 ApJ 580 171),296.9,,,173.64638,0.0026100000000000003,-0.0026100000000000003,0.0,,,,,,30.09,5.79,-3.14,0.0503,,,1.28,0.098,-0.07,35.512,0.27399999999999997,-0.27399999999999997,,,,2450.6,11.7,-11.7,4.64090031,1.485e-05,-1.485e-05,0.333559,0.087893,-0.075709,1.354,0.242,-0.242,19.01,,,1155.0,,,6463.0,205.0,-205.0,4.5,0.087,-0.163,-1.66,0.3,-0.2,0.826,0.159,-0.086,0.786,0.062,-0.045,,,,q1_q17_dr25_stellar,0.028999999999999998,19.674246,2.8e-06,40.071187,2.9e-05,-0.05,0.11,0.06,0.1,-9e-05,0.00056,0.0005099999999999999,0.00063,0.007,0.073,-0.098,0.072,0.098,0.072,-0.073,0.077,-0.103,0.072,0.126,0.073,DEEP_V_SHAPED,2018-08-16,1.0,q1_q17_dr25_tce,004/004936/004936180/dv/kplr004936180-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2455006.6459999997,0.0026100000000000003,-0.0026100000000000003,004/004936/004936180/dv/kplr004936180-20160209194854_dvr.pdf,0,0,0,0,421.08,257.38,-124.0,0.00218,0.00039,-0.0004,LS+MCMC,0.0
11,5115978,K00823.01,,296.00699,0.0,19h44m01.68s,40.295429,0.0,+40d17m43.5s,15.662,,15.167,,15.005,,14.892000000000001,,14.019,0.027000000000000003,13.702,0.033,13.597999999999999,0.048,15.202,,cumulative,Done,,CANDIDATE,CANDIDATE,1,,,,,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.303,0.3107,Mandel and Agol (2002 ApJ 580 171),89.6,,,170.22858200000002,0.00054,-0.00054,0.0,,,,,,72.77,27.71,-8.6,0.0197,,,1.5734,0.2599,-0.3164,1.8606,0.034,-0.034,,,,8098.0,127.0,-127.0,1.0284365229999999,7.05e-07,-7.05e-07,0.673134,0.22562600000000002,-0.331949,2.891,0.184,-0.184,57.3,,,1947.0,,,6228.0,183.0,-219.0,4.428,0.077,-0.272,-0.44,0.28,-0.3,0.99,0.377,-0.117,0.959,0.121,-0.111,,,,stellar_q1_q16,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-16,,,,q1_q17_dr25_sup_koi,q1_q16_koi,2455003.2290000003,0.00054,-0.00054,,0,0,0,0,3400.48,3879.25,-1109.02,0.43236,0.027530000000000002,-0.14255,MCMC,
12,5792202,K00841.03,,292.23676,0.0,19h28m56.82s,41.085879999999996,0.0,+41d05m09.2s,16.516,,15.753,,15.571,,15.491,,14.484000000000002,0.036000000000000004,14.026,0.033,14.118,0.065,15.855,,cumulative,Done,11111111111111111000000000000000,CANDIDATE,CANDIDATE,5,200.0,4.6233773000000005,24.029488,0.73,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.186,0.5256,Mandel and Agol (2002 ApJ 580 171),24.8,,,133.85963999999998,0.00317,-0.00317,0.0,,,,,,2.19,0.22,-0.08,0.0668,,,0.644,0.295,-0.43799999999999994,2.75,0.111,-0.111,,,,655.9,30.0,-30.0,6.54626149,2.668e-05,-2.668e-05,0.024555,0.005751,-0.0016120000000000002,14.52,5.1,-5.1,87.46,,,810.0,,,5251.0,105.0,-105.0,4.581,0.01,-0.085,0.21,0.15,-0.15,0.817,0.08,-0.029,0.926,0.032,-0.064,,,,q1_q17_dr25_stellar,0.09,19.482443,1.1e-05,41.08593,0.00012,-0.31,0.47,0.17,0.45,0.00041,0.00033,0.00018999999999999998,0.00032,-0.29,0.31,-0.48,0.2,0.56,0.3,-0.04,0.32,-0.08,0.23,0.09,0.31,CENT_KIC_POS,2018-08-16,3.0,q1_q17_dr25_tce,005/005792/005792202/dv/kplr005792202-003-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2454966.86,0.00317,-0.00317,005/005792/005792202/dv/kplr005792202-20160209194854_dvr.pdf,0,0,0,0,101.78,31.02,-14.45,1.35056,1.41306,-1.21438,LS+MCMC,1.0
13,6867155,K00868.01,,293.00797,0.0,19h32m01.91s,42.307201,0.0,+42d18m25.9s,16.343,,15.122,,14.67,,14.421,,13.251,0.025,12.677999999999999,0.024,12.515,0.025,15.172,,cumulative,Done,11111111111111111000000000000000,CANDIDATE,CANDIDATE,1,6.0,157.44648999999998,311.33582,0.637,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.0563,0.7032,Mandel and Agol (2002 ApJ 580 171),271.8,,,208.399822,0.000898,-0.000898,0.0,,,,,,10.59,0.35,-0.52,0.6534,,,0.778,0.006,-0.008,8.2284,0.0606,-0.0606,,,,20714.6,91.7,-91.7,235.99863990000003,0.0002773,-0.0002773,0.14756,0.0008380000000000001,-0.0009939999999999999,184.83,7.9,-7.9,89.76,,,188.0,,,4245.0,85.0,-85.0,4.627,0.03,-0.018000000000000002,0.12,0.15,-0.15,0.657,0.022,-0.032,0.666,0.031,-0.031,,,,q1_q17_dr25_stellar,0.0,19.5338684,1.1e-06,42.307216,1.2e-05,0.148,0.046,0.059,0.042,-0.0041,0.0057,0.0,0.0076,0.051,0.067,-0.022,0.067,0.056,0.067,0.115,0.077,-0.045,0.076,0.123,0.077,NO_COMMENT,2018-08-16,1.0,q1_q17_dr25_tce,006/006867/006867155/dv/kplr006867155-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2455041.4,0.000898,-0.000898,006/006867/006867155/dv/kplr006867155-20160209194854_dvr.pdf,0,0,0,0,0.29,0.05,-0.04,2.1444900000000002,0.09162000000000001,-0.08275,LS+MCMC,0.998
14,6526710,K00856.01,,293.17929,0.0,19h32m43.03s,41.969238,0.0,+41d58m09.3s,15.804,,15.287,,15.147,,15.06,,14.130999999999998,0.025,13.824000000000002,0.034,13.767000000000001,0.053,15.344000000000001,,cumulative,Done,11111111111111111000000000000000,CANDIDATE,CANDIDATE,1,34.0,123.3638,505.17914,0.255,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2916,0.3447,Mandel and Agol (2002 ApJ 580 171),561.1,,,172.854644,0.000301,-0.000301,0.0,,,,,,14.21,4.46,-1.49,0.2311,,,0.8809999999999999,0.003,-0.003,7.3051,0.0213,-0.0213,,,,15178.9,44.1,-44.1,39.74893077,1.554e-05,-1.554e-05,0.134949,0.001018,-0.001288,29.734,0.507,-0.507,88.3,,,552.0,,,6122.0,181.0,-218.0,4.487,0.052000000000000005,-0.20800000000000002,-0.18,0.3,-0.3,0.964,0.303,-0.101,1.041,0.139,-0.139,,,,q1_q17_dr25_stellar,0.0,19.54528636,5.3e-07,41.9692414,5.7e-06,0.015,0.021,0.005,0.021,-0.0049,0.0021,0.0017,0.0029,0.119,0.068,-0.07,0.071,0.138,0.069,0.062,0.068,0.024,0.07,0.067,0.068,NO_COMMENT,2018-08-16,1.0,q1_q17_dr25_tce,006/006526/006526710/dv/kplr006526710-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2455005.855,0.000301,-0.000301,006/006526/006526710/dv/kplr006526710-20160209194854_dvr.pdf,0,0,0,0,21.87,20.59,-6.71,0.31474,0.005370000000000001,-0.00563,LS+MCMC,0.994
